1 ^ Benedíce, ánima mea, Dòmino. Dòmine Deus meus, magnificátus es vehemènter. Confessiónem et decórem induìsti, ^ Bless the Lord, O my soul. O Lord my God, thou art exceedingly great. Thou hast put on praise and beauty,
2 ^ amìctus lúmine sicut vestimènto, extèndens caĕlum sicut pellem. ^ clothed with light as with a garment, stretching out the heaven like a pavilion.
3 ^ Qŭi tèǧis aqŭîs superióra ejus~; qŭi ponis nubem ascènsum tuum~; qŭi ámbulas super pennas ventórum. ^ Who coverest the higher rooms thereof with water~; who makest the clouds thy chariot~; who walkest upon the wings of the winds.
4 ^ Qŭi facis ánǧelos tuos spíritûs, et minìstros tuos ìgnem urèntem. ^ Who makest thy angels spirits, and thy ministers a burning fire.
5 ^ Qŭi fundavìsti terram super stabilitátem suam~; non inclinábitur in sáĕculum sáĕculi. ^ Who hast founded the earth upon its own bases~; it shall not be moved for ever and ever.
16 ^ Saturabùntur lìgna campi, et cedri Lìbani qŭas plantávit~; ^ The trees of the field shall be filled, and the cedars of Lebanon which he hath planted~;
17 ^ illic pásseres nidificábunt~; heródii domus dux est eórum. ^ there the sparrows shall make their nests~; the highest of them is the house of the heron.
18 ^ Mòntes excèlsi cèrvîs~; pètra refúǧium erináceîs. ^ The high hills are a refuge for the harts~; the rock for the hedgehogs.
19 ^ Fecit lunam in tèmpora~; sol cognóvit occásum suum. ^ He hath made the moon for seasons~; the sun knoweth his going down.
20 ^ posuìsti tènebras, et facta est nòx~; in ìpsa pertransíbunt òmnes béstiaĕ silvaĕ. ^ Thou hast appointed darkness, and it is night~; in it shall all the beasts of the woods go about~;
21 ^ cátuli leónum ruǧièntes ut rápiant, et qŭaĕrant a Deo escam sìbi. ^ the young lions roaring after their prey, and seeking their meat from God.
22 ^ Ortus est sol, et congregáti sunt, et in cubílibus suîs collocabùntur. ^ The sun ariseth, and they are gathered together, and they shall lie down in their dens.
23 ^ Exíbit hòmo ad opus suum, et ad operațiónem suam usqŭe ad vèsperum. ^ Man shall go forth to his work, and to his labour until the evening.
24 ^ Quam magnificáta sunt ópera tua, Dòmine. Òmnia in sapiènția fecìsti~; impléta est terra possessióne tua. ^ How great are thy works, O Lord. Thou hast made all things in wisdom~; the earth is filled with thy riches.
25 ^ Hoc mare magnum, et spațiósum mánibus~; illic reptìlia qŭórum non est númerus, animália pusìlla cum magnîs. ^ So is this great sea, which stretcheth wide its arms~; there are creeping things without number, creatures little with the great.
26 ^ Illîc naves pertransíbunt~; draco ìste qŭem formavìsti ad illudèndum ei. ^ There the ships shall go~; this sea dragon which thou hast formed to play therein.
27 ^ Òmnia a te expèctant ut des illîs escam in tèmpore~; ^ All expect of thee that thou give them food in season~;
28 ^ dante te illîs, còlliǧent~; aperiènte te manum tuam, òmnia implebùntur bonitáte. ^ what thou givest to them they shall gather up~; when thou openest thy hand, they shall all be filled with good.
29 ^ Avertènte aŭtem te fáciem, turbabùntur~; áŭferes spíritum eórum, et defìcient, et in pùlverem suum revertèntur. ^ But if thou turnest away thy face, they shall be troubled~; thou shalt take away their breath, and they shall fail, and shall return to their dust.
30 ^ Emìttes spíritum tuum, et creabùntur, et renovábis fáciem terraĕ. ^ Thou shalt send forth thy spirit, and they shall be created, and thou shalt renew the face of the earth.
31 ^ Sit glória Dòmini in sáĕculum~; laĕtábitur Dòminus in opèribus suîs. ^ May the glory of the Lord endure for ever~; the Lord shall rejoice in his works.
32 ^ Qŭi rèspicit terram, et facit eam trèmere~; qŭi tanǧit mòntes, et fúmigant. ^ He looketh upon the earth, and maketh it to tremble~; he troubleth the mountains, and they smoke.
33 ^ Cantábo Dòmino in vita mea~; psallem Deo meo qŭámdiu sum. ^ I will sing to the Lord as long as I live~; I will sing praise to my God while I have my being.
34 ^ Jucùndum sit ei elóqŭium meum~; ego vero delectábor in Dòmino. ^ Let my speech be acceptable to him~; but I will take delight in the Lord.
35 ^ defìciant peccatóres a terra, et iníqŭi, ita ut non sint. Benedíce, ánima mea, Dòmino. ^ Let sinners be consumed out of the earth, and the unjust, so that they be no more. Bless the Lord, O my soul.
